Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-08-22T00:00:00,18 - 24 Years,32.88022477,0.578,0.465
2021-08-22T00:00:00,25 - 39 Years,33.10030398,0.614,0.508
2021-08-22T00:00:00,40 - 49 Years,28.48293939,0.708,0.6
2021-08-22T00:00:00,50 - 64 Years,21.20483087,0.794,0.692
2021-08-22T00:00:00,65 - 74 Years,15.21554509,0.936,0.831
2021-08-22T00:00:00,75+ Years,15.75831505,0.886,0.787
2021-08-21T00:00:00,<12 Years,24.96791307,0.005,0.003
2021-08-21T00:00:00,12 - 15 Years,33.58314338,0.466,0.336
2021-08-21T00:00:00,16 - 17 Years,35.56766621,0.555,0.438
2021-08-21T00:00:00,18 - 24 Years,32.67316629,0.576,0.464
2021-08-21T00:00:00,25 - 39 Years,33.0059494,0.612,0.507
2021-08-21T00:00:00,40 - 49 Years,28.24271457,0.706,0.599
2021-08-21T00:00:00,50 - 64 Years,21.07565356,0.792,0.691
2021-08-21T00:00:00,65 - 74 Years,15.10314839,0.935,0.83
2021-08-21T00:00:00,75+ Years,15.70363033,0.885,0.787
2021-08-20T00:00:00,<12 Years,24.52734834,0.005,0.003
2021-08-20T00:00:00,12 - 15 Years,32.65545111,0.462,0.332
2021-08-20T00:00:00,16 - 17 Years,34.81142048,0.552,0.436
2021-08-20T00:00:00,18 - 24 Years,32.43632543,0.573,0.462
2021-08-20T00:00:00,25 - 39 Years,32.82948312,0.61,0.505
2021-08-20T00:00:00,40 - 49 Years,28.14492393,0.704,0.597
2021-08-20T00:00:00,50 - 64 Years,21.00936221,0.791,0.69
2021-08-20T00:00:00,65 - 74 Years,15.00008273,0.934,0.829
2021-08-20T00:00:00,75+ Years,15.64754343,0.884,0.786
2021-08-19T00:00:00,<12 Years,24.34320953,0.005,0.003
2021-08-19T00:00:00,12 - 15 Years,32.08738909,0.458,0.329
2021-08-19T00:00:00,16 - 17 Years,34.69600257,0.55,0.433
2021-08-19T00:00:00,18 - 24 Years,33.28015964,0.571,0.46
2021-08-19T00:00:00,25 - 39 Years,33.75339809,0.608,0.504
2021-08-19T00:00:00,40 - 49 Years,29.02716552,0.702,0.596
2021-08-19T00:00:00,50 - 64 Years,21.65570283,0.789,0.688
2021-08-19T00:00:00,65 - 74 Years,15.34363493,0.933,0.828
2021-08-19T00:00:00,75+ Years,16.07029842,0.884,0.785
2021-08-18T00:00:00,<12 Years,23.64830121,0.005,0.003
2021-08-18T00:00:00,12 - 15 Years,30.75479247,0.454,0.326
2021-08-18T00:00:00,16 - 17 Years,33.90530374,0.547,0.43
2021-08-18T00:00:00,18 - 24 Years,33.12510215,0.568,0.458
2021-08-18T00:00:00,25 - 39 Years,33.75360917,0.605,0.502
2021-08-18T00:00:00,40 - 49 Years,28.98677374,0.7,0.595
2021-08-18T00:00:00,50 - 64 Years,21.64344348,0.788,0.687
2021-08-18T00:00:00,65 - 74 Years,15.34490734,0.931,0.828
2021-08-18T00:00:00,75+ Years,16.08712449,0.883,0.785
2021-08-17T00:00:00,<12 Years,22.9641021,0.005,0.003
2021-08-17T00:00:00,12 - 15 Years,29.54093362,0.451,0.324
2021-08-17T00:00:00,16 - 17 Years,33.10943694,0.544,0.429
2021-08-17T00:00:00,18 - 24 Years,33.1492117,0.567,0.457
2021-08-17T00:00:00,25 - 39 Years,33.63075825,0.604,0.501
2021-08-17T00:00:00,40 - 49 Years,28.77808286,0.699,0.594
2021-08-17T00:00:00,50 - 64 Years,21.46477468,0.787,0.686
2021-08-17T00:00:00,65 - 74 Years,15.08363802,0.931,0.827
2021-08-17T00:00:00,75+ Years,15.84174431,0.882,0.784
2021-08-16T00:00:00,<12 Years,22.58987493,0.005,0.003
2021-08-16T00:00:00,12 - 15 Years,28.73881296,0.449,0.322
2021-08-16T00:00:00,16 - 17 Years,32.70978088,0.542,0.427
2021-08-16T00:00:00,18 - 24 Years,33.61296597,0.565,0.456
2021-08-16T00:00:00,25 - 39 Years,34.12511714,0.603,0.501
2021-08-16T00:00:00,40 - 49 Years,29.09767399,0.698,0.593
2021-08-16T00:00:00,50 - 64 Years,21.55422259,0.786,0.686
2021-08-16T00:00:00,65 - 74 Years,15.10187597,0.93,0.827
2021-08-16T00:00:00,75+ Years,16.01070609,0.882,0.784
2021-08-15T00:00:00,<12 Years,22.44678807,0.005,0.003
2021-08-15T00:00:00,12 - 15 Years,28.39455883,0.445,0.318
2021-08-15T00:00:00,16 - 17 Years,32.98023778,0.539,0.425
2021-08-15T00:00:00,18 - 24 Years,34.82222531,0.563,0.455
2021-08-15T00:00:00,25 - 39 Years,35.37452374,0.6,0.5
2021-08-15T00:00:00,40 - 49 Years,30.16770194,0.696,0.592
2021-08-15T00:00:00,50 - 64 Years,22.23711427,0.785,0.685
